"Translation Info:
#---------------------------
609,4,116,"بې شكه الله دا نه بخښي چې له ده سره شرك وشي، خو له دې راښكته (هرڅه) چا ته چې وغواړي بخښي يې، او چا چې الله سره شريك ونيوه نو يقيناً چې (له حق نه) په ډېر لرې بې لاريتوب كې ولاړ.",""
610,4,117,"دوى خو له الله پرته يوازې ښځينه لمانځى او له سركښ شيطانه پرته بل څه نه لمانځي.",""
611,4,118,"هماغه چې الله رټلى او ده ويلي دي چې ستا له بندګانو به حتماً يوه ټاكلې برخه ترلاسه كوم.",""
612,4,119,"او بې لارې كوم به يې او په (باطلو) هيلو كې به يې اچوم او خامخا به امر ورته كوم نو د څارويو غوږونه به غوڅوي او حتماً به امر ورته كوم نو د الله د مخلوق جوړښت به بدلوي او څوك چې له الله پرته شيطان ملګرى نيسي نو په څرګند تاوان سره تاواني شو.",""
613,4,120,"وعدې ورسره كوي او په هيلو كې يې اچوي خو شيطان له دوكې پرته بله وعده نه ورسره كوي.",""
614,4,121,"د دوى استوګنځى جهنم دى چې هېڅ خلاصون به ترې ونه مومي.",""
615,4,122,"او هغوى چې ايمان یې راوړى اوسم كارونه يې كړي، زر به يې داسې جنتونو ته ننباسو چې ويالې ترې لاندې بهيږي، تلپاتې په هغه كې تر ابده، د الله رښتينې وعده ده، او څوك به الله نه زيات په خبرو كې رښتينى وي؟",""
616,4,123,"نه ستاسو په هيلو (برابره) ده او نه د اهل كتابو، چا چې ناوړه كار وكړ د هماغه بدله وركول كيږي، او ځان ته به له الله پرته نه كوم دوست مومي او نه څوك مرستندوى.",""
617,4,124,"او څوك چې ښه عملونه وكړي، نارينه وي كه ښځينه خو چې مومن وي نو دغسې خلك به جنت ته ننوځي او د كجور زړي د چاود په اندازه به ظلم پرې ونه شي.",""
618,4,125,"او له هغه چا نه په دين كې څوك غوره دى چې الله ته يې ځان تسليم كړى، حال دا چې ښېګڼې والا دی، او د حق پلوي ابراهيم په دين پسې روان وي او الله خو ابراهيم خپل دوست نيولى.",""
619,4,126,"او څه چې په اسمانو كې دي او څه چې په ځمكه كې دي، هغه (ټول) د الله دي، او الله له هر څه راچاپېر دى.",""
620,4,127,"او د ښځو په هكله درنه فتوى غواړي، ورته وايه الله په دوى كې هم فتوى دركوي او هغه څه هم (د رښايي) چې په كتاب كې درباندې لوستل كيږي يعنې د هغو يتيمو ښځو په هكله چې ټاكلى مهر يې نه وركوئ او غواړئ چې په نكاح يې كړئ او د كمزورو ماشومانو په هكله هم، او دا چې د يتيمانو په اړه په عدل ولاړ اوسئ، او كوم د خير كار چى كوئ نو الله ډېر ښه ورباندې پوه دى.",""
621,4,128,"او كه كومه ښځه د خپل خاوند له ناوړه چلند يا مخ اړونې په اندېښنه كې وه نو څه ګناه ورباندې نشته كه خپلو كې څه جوړه سره وكړي، او جوړه خو ډېره ښه ده او نفسونه زړه تنګى ته حاضر شوي دي، او كه تاسو ښېګڼه او ځان ساتنه وكړئ نو بې شكه الله په هغه چې تاسو يې كوئ ښه خبر دى.",""
622,4,129,"او هيڅكله به ونه شئ كړاى چې د ښځو ترمنځ عدل وكړئ كه څه هم تلوسه يې ولرئ، نو (يوه لوري ته) په كامله توګه مه اوړئ چې (بله) د ځوړندې په شان پرېږدئ او كه سوله او تقوى وكړئ نو بې شكه الله مهربان بخښونكى دى.",""
623,4,130,"او كه (ښځه او خاوند) سره بېل هم شي نو الله به يې خپل پراخ فضل سره هر يو غني كړي او الله د حكمت او پراخۍ څښتن دى.",""
624,4,131,"او په اسمانو او ځمكه كې هر څه الله لره دي او يقيناً موږ هغو ته هم دا حكم كړى و چې له تاسو ړومبى كتاب وركړى شوى و او تاسو ته هم چې الله نه ووېرېږئ، او كه كافران شئ نو بې شكه په اسمانو كې هر څه او په ځمكه كې هر څه ټول د الله دي او الله ستايل شوى غني دى.",""
625,4,132,"او څه چې په اسمانو كې دي او څه چې په ځمكه كې دي ټول الله لره دي، او الله بس دى ښه كارجوړوونكى.",""
626,4,133,"كه وغواړي نو تاسو به له منځه يوسي او نور به راولي، او الله په دې ښه برلاسى دى.",""
627,4,134,"څوك چې (يوازى) دنيايى بدله غواړي نو (خبردې شي) چې الله سره هم دنيايى بدله شته او هم د آخرت او الله ليدونكى اورېدونكى دى.",""
628,4,135,"اى مومنانو (تل) په عدل (محكم) ولاړ اوسېږئ، د الله لپاره شاهدان، كه څه هم پر خپلو ځانو مو وي يا پر مور، پلار او خپلوانو، شتمن وي كه بېوزله، خو الله تر هر چا زيات د هغو دواړو خواو خيرغوښتونكى دى، نو په (خپل) هوس پسې مه ځئ چې بيا له حقه هم واوړئ او كه ژبې واړوئ راواړوئ يا څنګ وكړئ نو بې شكه په هغو كارو الله ښه خبر دى چې تاسو يې كوئ.",""
629,4,136,"اى مومنانو! په الله، په رسول او په هغه كتاب ايمان راوړئ چې الله پر خپل رسول را نازل كړى او په هغه كتاب چې مخکې يې نازل كړى او څوك چې له الله، ملايكو يى، كتابونو يى، رسولانو يې او وروستۍ ورځې نه منكر شي نو رښتيا چې هغه په بې لاريتوب كې ډېر لرې ولاړ.",""
630,4,137,"يقيناً هغوى چې ايمان راوړو بيا كافر شول بيا يې ايمان راوړو بيا كافر شول او بيا يى په كفر كې ښه زياتوالى وكړ نو الله به نه دوى ته بخښنه وكړي او نه به ورته سمه لار وښايي.",""
631,4,138,"منافقانو ته زېرى وركړه چې دوى ته دردناك عذاب (ټاكل شوى) دى.",""
632,4,139,"هماغه كسان چې له مومنانو پرته كافران په دوستۍ نيسي، آيا د هغو په خوا كې عزت لټوي؟ حال دا چې عزت خو ټول الله سره دى.",""
633,4,140,"او حقيقت دا دى چې تاسو ته خو په كتاب كې دا نازل شوى وو چې كله مو واورېدل د الله په ايتونو كفر كيږي او ملنډې پرې وهل كيږي نو تر هغه مه ورسره كېنئ چې په نورو خبرو كې بوخت شي، كنه بيا خو به تاسو هم د دوى په شان وئ، بې شكه الله په جهنم كې د منافقانو او (نورو) كافرانو راټولوونكى دى.",""
634,4,141,"هغه (منافقان) چې ستاسو په اړه انتظار كوي، نو كه د الله له خوا مو برى نصيب شو دوى وايي آيا موږ درسره نه وو او كه د كافرانو څه په برخه شو نو (هغوته) وايي آيا موږ درباندې برلاسي نه و او له مومنانو مو ونه ژغورلئ، نو الله به د قيامت په ورځ ستاسو ترمنځ فيصله كوي او الله به هيڅكله كافرانو ته پرمومنانو (د برلاسۍ) لاره ورنه كړي.",""
635,4,142,"بې شكه دا منافقان الله سره ټګي كوي او په حقيقت كې الله هغوى په دوكه كې غورځولي دي او كله چې لمانځه ته پاڅيږي نو په لټۍ سره پاڅيږي، خلكو ته ځان ښودنه كوي او الله نه يادوي مګر ډېر لږ.",""
636,4,143,"د دې ترمنځه زړه نازړه دي، نه د دغو په لوري دي او نه د هغو او څوك چې الله يې بې لارې كړي نو هيڅكله به لار ورته ونه مومې.",""
637,4,144,"اى مومنانو! د مومنانو په ځاى له كافرانو سره ملګرتيا مه كوئ آيا غواړئ چې د ځان پر خلاف الله ته څرګند سند وركړئ.",""
638,4,145,"بې شكه منافقان به د اور په بيخي لانديني تل كې وي او ته به هيڅكله دوى ته څوك مرستندوى ونه مومې.",""
639,4,146,"پرته له هغو چې توبه يې ووېسته او سم يې كړل (عملونه) او په (دين د) الله يې منګولې ولګولې او خپل دين يې الله لره سوچه كړ نو داسې خلك به له مومنانو سره وي، او الله به ډير زر مومنانو ته لويه بدله وركړي.",""
640,4,147,"الله به ستاسو په ځورولو څه كوي، كه شكر مو ووېست او ايمان مو راوړ او الله خو پوه شكر قبلوونكى دى.",""
641,4,148,"الله بده وینا نه خوښوي، پرته له هغه چا چې زياتى ورسره شوى وي، او الله پوه اورېدونكى دى.",""
642,4,149,"كه ښېګڼه څرګندوئ، يا يې پټوئ او يا له څه بدو تېرېږئ نو بې شكه الله هم سره له وسې تېرېدونكى دى.",""
643,4,150,"بې شكه هغوى چې له الله او رسولانو يې منكريږي او غواړي چې د الله او د رسولانو ترمنځ يې بېلتون وكړي (داسې چې) وايي په ځېنو ايمان راوړو او ځينې نه منو او غواړي چې د دې (كفر او اسلام) ترمنځ بله لار ونيسي.",""
644,4,151,"دا خلك نو پاخه كافران دي او دغسې كافرانو ته مو سپكوونكى عذاب تيار كړى.",""
645,4,152,"او چا چې په الله او رسولانو يې ايمان راوړ او د هغو يوه كې يې هم څه توپير ونه كړ نو دوى ته به يې ډېر زر خپلې بدلې وركړي او الله مهربان بخښونكى دى.",""
646,4,153,"اهل كتاب در څخه غواړي چې له اسمانه يوه کتاب پرې نازل كړې، نو دوى خو له موسى نه تر دې ډېره لويه غوښتنه كړې وه، ورته ويلي يې وو چې الله په څرګنده راوښايه! چې د همدغې ناړامۍ له امله بيا تندر پرې راولوېد، بيا يې خوسى (ځان ته) په خدايۍ ونيوه (دا هم) وروسته له هغه چې ښكاره نښې ورته راغلې، خو له هغه هم موږ ورتېر شو، او موسى ته مو څرګند فرمان وركړ.",""
647,4,154,"او د دوى پخې ژمنې لپاره مو طور(غر) پرې اوچت كړ او ورته و مو ويل په دې وره به سجده كونكي ننوځئ، او (دا مو هم) ورته وويل چې د خالي په ورځ به تېرى نه كوئ او پوخ لوز مو ترې واخيست.",""
648,4,155,"نو د دوی د لوز ماتولو، د الله له آيتونو منكرېدلو او د (يو شمېر) رسولانو په نا حقه وژلو او د هغى وينا له امله يې چې ويل به يې زموږ زړونه په پردو كې دي چې په حقيقت كې د هغوى د كفر په وجه الله مهر پرې لګولى و (نو دا دى اوس) ډېر لږ ايمان راوړي.",""
649,4,156,"او د كفر له امله يې او پر مريمې د لوى بهتان ويلو له امله يې.",""
650,4,157,"او دا خبره يې چې موږ د الله رسول مسيح عيسى د مريمې زوى وژلى دى حال دا چې نه يې وژلى او نه يې په سولۍ كړى و، بلكې ورته مشابه كړى شو (بل كس د عيسى په رنګ کې) او بې شكه هغوى چې د ده په هكله شخړه كوي، خامخا په دې اړه په شك كې دي، له ګومانه پرته د دوى څه علم پرې نشته او يقيني خو يې نه دى وژلى.",""
651,4,158,"بلكې الله هغه خپل لوري ته اوچت كړ، او الله ډېر زورور او د حكمت څښتن دى.",""
652,4,159,"او له اهل كتابو نه به هېڅوك داسې نه وي چې له مرګه مخكې يې پر هغه ايمان رانه وړي او د قيامت په ورځ به هغه ورباندې شاهد وي.",""
653,4,160,"نو د يهودو د همدې ظلم (او زياتي) په اساس او په دې چې د الله له لارې ډېر ايسارول كوي، زياتره هغه پاكيزه شيان مو پرې حرام كړل چې ورته حلال وو.",""
654,4,161,"او همدارنګه د سود اخيستل يې چې ترې منع شوي هم وو او په نا حقه يې د خلكو مالونو خوړلو په وجه او دوى نه چې څوك كافران وو هغو ته مو دردناك عذاب تيار كړى دى.",""
655,4,162,"خو له دوى نه د پاخه علم خاوندان او هغه مومنان چې هم پر تا رانازل شوى (دين) مني او هم له تا مخكې نازل شوي (كتابونه) او د لمانځه او زكات ادا كوونكي او په الله او وروستۍ ورځ ايمان راوړونكي دوي (ټولو) ته به لوى اجر وركړو.",""
656,4,163,"يقيناً موږ تا ته هماغه شان وحې درلېږلې ده لكه نوح او له هغه وروسته نبيانو ته مو چې ورلېږلې ده او (لكه چې) وحې مو لېږلې وه ابراهيم، اسماعيل، اسحاق، يعقوب او اولادې ته يې، عيسى، ايوب، يونس، هارون او سليمان ته، او داود ته مو زبور وركړى و.",""
657,4,164,"او (هغو) رسولانو ته هم چې مخكې يې موږ يادونه درته كړې او هغو رسولانو ته هم چې يادونه يې موږ تا ته نه ده كړې او موسى سره الله په ځانګړي شان خبرې كړې دي.",""
658,4,165,"(دا ټول) رسولان زېرى وركوونكي او وېروونكي (لېږل شوي وو) تر څو له رسولانو وروسته خلكو ته د الله پر وړاندې كوم دليل پاتې نه شي، او الله د حكمت والا برلاسى دى.",""
659,4,166,"خو الله شهادت وركوي چې څه يې تا ته نازل كړي، هغه يې په خپل علم نازل كړي او ملايكې هم په دې شاهدي وركوي (كه څه هم) د الله شاهدي بيخى بس ده.",""
660,4,167,"بې شكه هغوى چې كافران شوي او (نور يې هم) د الله له لارې ايسار كړي دي، نو رښتيا چې په بې لاريتوب كې ډېر لرې پراته دي.",""
661,4,168,"يقيناً څوك چې كافر شوي او ظلم يې كړى نو الله به نه بخښنه ورته وكړي او نه به كومه لاره ورته وښايې.",""
662,4,169,"پرته د جهنم له لارې چې هلته پكې تلپاتي وي ابدي او دا خو الله ته (ډېره) اسانه ده.",""
663,4,170,"اى خلكو يقيناً چې دا رسول مو د خپل رب له لوري له حق سره درغلى، نو ايمان پرې راوړئ، دا درته غوره ده او كه كافران شوئ نو بې شكه څه چې په اسمانو كې دي او څه چې په ځمكه كې دي، ټول د الله دي او الله د حكمت والا پوه دى.",""
664,4,171,"ای اهل كتابو! په خپل دين كې مو بې اندازې تېرى مكوئ او د الله په اړه له حقه پرته څه مه واياست، خبره دا ده چې مسيح عيسى د مريمې زوى د الله رسول او هغه فرمان و چې مريمې ته يې ولېږه او د الله له لوري يو روح و، نو په الله او رسولانو يې ايمان راوړئ، او مه واياست چې درې دي، ډډه وكړئ، همدا درته غوره ده، په حقيقت كې الله يوازنى (په حقه) معبود دى، هماغه له دې پاك دى چې څوك د هغه زوى وي، د اسمانو او ځمكې هر څه خو يوازې د هغه دي او الله ساتونكى څارونكى بس دى.",""
665,4,172,"نه مسيح له دې څه ننـګ كوي چې د الله يو بنده واوسي او نه مقربې ملايكې، او هرڅوك چې د الله له عبادته ننګ او لويي كوي نو ډېر زر به ټول خپلې خوا ته راغونډ كړي.",""
666,4,173,"نو چا چى ايمان راوړى او سم كارونه يې كړي نو بد له به يې هم پوره پوره وركړي او له خپله فضله به لا نورهم ور زيات كړي، خو چا چې (له عبادته) ننګ او لويي كړې وي نو په دردناك عذاب به يې وكړوي، او له الله پرته به نه څوك اشنا ومومي او نه كوم مرستندوى.",""
667,4,174,"اې خلكو يقيناً چې د خپل رب له لوري مو ښكاره دليل (چې محمد دى) درغلى او تاسو ته مو څرګنده رڼا نازله كړې (چى قرآن دى).",""
668,4,175,"نو هر هغه چې په الله يې ايمان راوړى او منګولې يې پرې لګولي دي نو زر به يې په خپل رحمت او پېرزوينه كې داخل كړي او خپل لوري ته نېغه لار به ور وښايي.",""
669,4,176,"دوى فتوى درنه غواړي، ورته وايه د كلاله (چى نه يي پلار وى نه اولاد) په هكله الله (داسې) فتوى دركوي چې: كه يوكس ومري، زوى يې نه وي او يوه خور يې وي نو دې لره د هغه څه نيمايي ده چې هغه پريښي، او دى به له دې خور نه هر څه به ميراث وړي، كه زوى يې نه و نو كه هغوى دوه خويندې وې بيا يې د پريښي مال له دريو دوه برخې دي او كه وارثان (ډېر) ورونه، خويندى وي نو هر نارينه ته به لكه د دوو ښځو برخه وي، (دا حكمونه) الله درته بيانوي تر څو بې لارې نه شئ او الله خو په هر څه ښه پوه دى.",""
670,5,1,"ای مومنانو (ټول) لوزونه پوره كړئ، د بې ژبې څارويو (ټول ډولونه) درته حلال كړی شول پرته له هغو چې ( وروسته به) درباندې ولوستل شي خو د احرام په وخت كې به ښكار كول ځان ته نه روا كوئ بې شكه الله چې څه غواړى حكم كوي.",""
671,5,2,"ای مومنانو! د الله د نښو نښانو بې عزتي مه كوئ، او مه حرامې مياشتې (حلالوئ)، مه د قربانۍ څاروي ته (لاس تېرول)، مه د پټۍ يا غړوندي والا څاروي ته او مه هغه خلك ځوروئ چې د خپل رب د فضل او رضا په لټه د محترم كور (كعبى) په لوري تلونكي وي او كله چې (له احرامه) حلال شوئ نو بيا ښكار كوئ، او د هغه قوم دښمني چې له مسجد حرام نه يې ايسار كړي وئ، بايد تاسو دې ته مجبور نه كړي چې تېرى وكړئ او تاسو په ښېګڼه او تقوى كې يو له بل سره مرسته وكړئ او په ګناه او تېري كې يو له بل سره مرسته مه كوئ او الله نه وډارشئ، بې شكه د الله عذاب ډېر سخت دى.",""
672,5,3,"پر تاسي حرامه شوه مرداره، وينه، د خنزير غوښه، هغه چې له الله پرته د بل چا په نامه حلال شوى وي، په ستوني خپه شوى، ويشتلى، غورځېدلى، په ښكر څېرې شوى، هغه چې ځناورو خوړلى وي خو پرته له هغه چې تاسو يې حلال كړئ، هغه چې د كوم ناروا ځاى يا څه بل شي په نامه حلال شوى وي او دا چې د فال په غشو خپلې تالې وګورئ، دا ټول فسق دى، نن كافران ستاسي د دين له خوا ناهيلي شوي نو له هغوى مه وېريږئ بلكى له ماووېرېږئ، نن مې ستاسو دين درته پوره كړى، خپل نعمت مې درباندې تمام كړى او همدغه اسلام مې ستاسو د دين په توګه درته غوره كړى دى، نو كه څوك په سخته لوږه كې (حرام خوراك ته) اړ شو خو چې د ګناه تكل يې نه وي نو بې شكه بيا الله مهربان بخښونكى دى.",""
673,5,4,"خلك له تانه پوښتنه كوي چې هغوی ته څه شى حلال كړاى شوی دي؟ ووايه تاسي ته ټول پاك شيان حلال كړاى شويدي او كوم ښكاري ځناور چې تاسي روزلي هغو ته مو د الله دركړي پوهې څخه ښکار ورزده کړی وي، نو هغه ځناور چې كوم شى تاسي لپاره ونيسي د هغه خوراك هم تاسي ته روا دى، البته پر هغه د الله نوم واخلئ او د الله د قانون له ماتولو نه ووېرېږئ، د الله په حساب اخيستنه كې څه ځنډ نه راځي.",""
674,5,5,"نن تاسو ته (ټول) پاك شيان حلال شوي او هغوى چې كتاب وركړى شوى خواړه يې تاسو ته حلال دي او ستاسو خواړه هغوى ته حلال دي، او مومنې پاك لمنې ښځې هم او له تاسو مخكې كتاب وركړ شوو پاك لمنى هم (درته حلالې دي) كله چې مهرونه يې وركړئ په داسى حال كې چې په نكاح كې يې ساتونكي ياست نه ښكاره زنا كونكي او نه پټ ياران نيوونكي، او چا چې له ايمانه انكار وكړ نو ټول عملونه يې بابېزه شول او دى به په آخرت كې له تاوانيانو وي.",""
675,5,6,"ای مومنانو! كله چې لمانځه ته پاڅئ نو مخونه مو پرېمينځئ او لاسونه مو تر څنګلو او په سرونو مو مسح وكړئ او پښې موتر ښینګرو (ګیټو) (و وينځئ) او كه جنب وئ نو ځان ښه پاك كړئ، او كه ناروغان وئ، يا په سفر، يا كوم يو د ميتيازو ځاى نه راغلئ يا مو ښځو ته لاس وروړى وي او اوبه بيانه‌مومئ نو د پاكې خاورې تيمم وكړئ او په مخونو او لاسونو يې وموښئ، الله نه غواړي چې پر تاسو څه تنګون راولي خو دا غواړي چې سوتره مو كړي او خپل نعمت درباندې تمام كړي چې شكر وباسئ.",""
676,5,7,"او پر تاسو د الله (پېرزو كړى) نعمت درياد كړئ او هغه لوز يې (ياد ساتئ) چې ښه يې درباندې كره كړى دى، هغه وخت چې تاسو وويل: اورېدلي او منلي مو دي، او الله نه وېره كوئ بې شكه الله د زړه په رازونو ښه پوه دى.",""
677,5,8,"ای مومنانو! د الله لپاره په حق ولاړ او په عدل شاهدان اوسئ، او د كومې ډلې دښمني مو دومره و نه پاروي چې بيا عدالت ونه كړئ، عدل كوئ، دا تقوى ته ډېر نږدې دى او الله نه وېره كوئ چې يقيناً الله په هغو كارو چې تاسو يې كوئ ښه خبر دى.",""
678,5,9,"الله هغو كسانو سره چې ايمان يې راوړى او سم كارونه يې كړي د بخښنې او لوى اجر وعده كړې ده.",""
679,5,10,"او هغوى چې كافر شوي او زموږ آيتونه يې دروغ ګڼلي، همدوى د دوزخ خلك دي.",""
680,5,11,"ای مومنانو! د الله هغه ښېګڼه در ياده كړئ چې كله يوې ډلې غوښتل تاسو ته لاسونه در اوږد كړي خو د هغوى لاسونه يې درنه ايساركړل او الله نه وډار شئ او مومنان دې (يوازې) پر الله بروسه كوي.",""
681,5,12,"او يقيناً الله له بني اسرائيلو پخه وعده اخيستې وه او په هغو كې مو دولس تنه مشران (د قوم استازي) ټاكلي وو او هغو ته الله ويلي و چې زه درسره يم، كه لمونځ مو ترسره كړ، زكات مو وركړ، زما رسولان مو ومنل او د هغو ملاتړ مو وكړ او الله سره مو ښه پور وكړ، نو خامخا به مو ګناهونه درنه ورژوم او داسې جنتونو ته به مو ننباسم چې ترې لاندې ويالې بهيږي، خو كه له دې وروسته هم تاسو نه څوك كافر شو نو په حقيقت كې يې سمه نېغه لار وركه كړه.",""
682,5,13,"نو همدا د لوز ماتول يې وو چى ومو رټل او د هغوى زړونه مو (دومره) سخت كړل چې اوس (د تورات) ټكي له خپلو ځايو بدلوي او د هغه څه يوه لويه برخه يې هېره كړې چې دوى ته يې ښوونه شوې وه، او (بل دا چې) تل به د دوى په كوم خيانت خبريږي، پرته له كمو كسانو يې، نو هغو نه تېرېږه او مخ ترې اړوه يقيناً الله نيكان خوښوي.",""
683,5,14,"او همداسې مو له هغو هم پوخ لوز اخيستى و چې ويل يې موږ نصارى يو، خو دوى هم د هغه څه لويه برخه هېره كړه چې درس يې وركړ شوى و، نو بيا مو د قيامت تر ورځې د هغوى ترمنځ دښمني او تاوتريخوالى واچاو او الله به يې ډېر زر په هغو كارونو خبر كړي چې دوى به كول.",""
684,5,15,"ای اهل كتابو! یقینا زموږ رسول درغلى دى چې تاسو ته د کتاب زياتره هغه خبرې بيانوي كومې چې تاسو پټولې او له ډېرو (بديو) در تېريږي هم، په حقيقت كى د الله له خوا يوه رڼايي او حق بيانوونكى كتاب درغلى دى.",""
685,5,16,"(چې) د هغه په وسيله الله تعالى هغو خلكو ته چې د هغه د رضا غوښتونكي دي د سلامتيا لارې ښايي، او په خپل امر سره هغوى له ترږميو څخه راباسي د رڼا لوري ته يې راولي او د سمې لارې په لوري د هغو رهبري كوي.",""
686,5,17,"هغه كسان حتماً كافر شوي چې وايي: الله خو همدا د مريمى زوى مسيح دى! ورته وايه: ښه نو څوك د الله يو څه ايسارولاى شي كه هغه وغواړى چې د مريمى زوى مسيح، مور يې او په ځمكه كې چې هر څوك دي ټول هلاك كړي؟ او (خاص) الله لره ده پاچايي د اسمانونو، ځمكې او څه يې چې ترمنځه دي، څه چې غواړي پيدا كوي يې او الله په هر څه قادر دى.",""
687,5,18,"او يهود او نصارى وايي چې موږ د الله زامن او ګران دوستان يو ورته وايه: نو بيا مو په ګناهونو ولې سزا دركوي؟ بلكې تاسو هم د هغه د پېدایښت په څېر بشر ياست، چا ته يې چې خوښه شي بخښنه كوى او څوك چې وغواړي په عذابوي، او الله لره پاچایي د اسمانونو او ځمكي ده او څه يې چې ترمنځه دي او د هغه لور ته ورتګ دى.",""
688,5,19,"ای اهل كتابو! زموږ دا رسول درته راغى چې تاسي ته د رسولانو لړۍ بندېدو په مهال دين بيانوي چې بيا ونه واياست چې موږ ته خو نه زېرى وركوونكى راغلى او نه وېروونكى، نو دادى هم زېرى وركوونكى درته راغى او هم وېروونكى او الله په هر څه قادر دى.",""
689,5,20,"او كله چې موسى خپل قوم ته وويل: اى زما قومه! د الله لورينه درياده كړئ چې پر تاسو يې كړې كله چې یې په تاسو كې نبيان پيدا كړل او تاسو يې واكمنان كړئ او هغه څه يې دركړل چې په نړۍ كې يې هيچا ته نه و وركړي.",""
690,5,21,"اى قومه! هغه سپېڅلې ځمكې ته ننوځئ چې الله ستاسي لپاره ليكلې ده، پر شا مه اوړئ كه نه نو تاوانیان به وګرځئ.",""
691,5,22,"دوى وويل: هلته خو ډېر زورور خلك (مېشت) دي او موږ به تر هغه نه ورننوځو چې هغوى نه وي ترې وتلې، خو كه دوى ووتل نو بيا حتماً ورننوتونكي يو.",""
692,5,23,"له هغو وېرېدونكو نه دوو كسانو چې الله ورباندې پېرزوينه كړې وه، وويل: پرهغو له دروازې ورننوځئ نو كله چې ورننوتئ، همدا تاسي برلاسي ياست او په الله بروسه وكړئ كه (رښتيني) مومنان ياست.",""
693,5,24,"هغوى بيا وويل: اى موسى! موږ به هيڅكله ور داخل نه شو تر څو چې هغوى پكې وي، نو ته او رب دې دواړه ولاړ شئ وجنګېږئ، موږ به دلته ناست يو.",""
694,5,25,"(موسى) وويل: زما ربه! زه خو مې له ځان او ورور پرته بل څه نه لرم نو زموږ او دغه سرغړاند قوم ترمنځ بېلتون راولې.",""
695,5,26,"ويې فرمايل: نو يقيناً هغه (ځمکه) تر څلوېښتو كلونو پر دوى حرامه شوه، په ځمكه كې به لا لهانده ګرځي (نو ته هم) د دې فاسقانو په حال مه اندېښمن كېږه.",""
696,5,27,"او د آدم د دوو زامنو خبرهم په رښتيا سره پرې ولوله، كله چې دواړو څه قرباني وكړه نو له يوه يې قبوله شوه او له بل قبوله نه شوه، هغه (قابيل) ورته وويل: خامخا به دې وژنم، هابيل وويل بې شكه الله يې يوازى له متقيانو قبلوي.",""
697,5,28,"نو كه ماته دې لاس راوغځاوه چې ومې وژنې، زه خو مى لاس نه درغځوم چې تا ووژنم، زه خو د ټولو خلكو رب الله نه وېرېږم.",""
698,5,29,"زه خو دا غواړم چې ته زما او ستا خپلې ګناه باندې اخته شې، نو بيا به له دوزخيانو يې او همدا د ظالمانو سزا ده.",""
699,5,30,"نو خپل نفس يې د ورور وژل ورته اسانه كړل او ويې وژلو نو دى هم له تاوانيانو شو.",""
700,5,31,"بيا الله يو كارغه ولېږلو چې ځمكه يې كيندله تر څو هغه ته وښيي چې د ورور جسد يې څنګه پټ كړي، ويلې افسوس پر ما! ايا له دې هم عاجز وم چې د دې كارغه په شان وى، او د خپل ورور جسد مې پټ كړی واى، نو له پښېمانۍ كوونكو نه شو.",""
701,5,32,"له همدې امله مو په بني اسرائيلو (دا فرمان) ليكلى و چې هر چا يو كس د بل كس له بدلې او يا په ځمكه كې له فساد پرته ووژلو نو (وګڼئ) لكه چې ټول انسانان يې وژلي وي او چا چې ژوندى كړ (له مرګه یې وژغوره) نو لكه چې ټول انسانان يې ژوندي (بچ) كړي وي، او دوى ته زموږ رسولان هم له ښكاره نښانو سره راغلل بيا هم د هغوى نه زياتره له دې وروسته هم په ځمكه كې زياتى كونكي دي.",""
702,5,33,"خبره دا ده چې كوم كسان الله او د هغه رسول سره جنګيږي او په ځمكه كې د فساد لپاره منډې ترړې وهي نو سزا يې دا ده چې ووژل شي، يا په دار شي، يا يې لاسونه او پښې ردو بدلې غوڅې شي او يا له هیواده وشړل شي دا خو د دوى لپاره په دنيا كې يو سپكاوى دى، او په آخرت كې یه دوى لپاره لوى عذاب وي.",""
703,5,34,"خو پرته له هغو كسانو چې توبه يې وېستلې وي، مخکې له دې چې تاسو پرې برلاسي شئ، نو بيا پوه شئ چې يقيناً الله مهربان بخښونكى دى.",""
704,5,35,"ای مومنانو! الله نه وډار شئ، هغه ته د ورنږدې كېدو وسيله ولټوئ او د هغه په لار كې هلې ځلې وكړئ ښایي چې بريالي شئ.",""
705,5,36,"يقيناً څوك چې كافرشوي كه د ځمكى دا هر څه د دوى وي او همدومره نور هم چې د قيامت ورځې له عذابه (بچ كېدلو لپاره) يې په فديه كې وركړي، نو ترې به ونه منل شي او هغوى ته به دردناك عذاب وي.",""
706,5,37,"(بيا به) هغوى غواړي چې له اوره (په تېښته) ووځي خو ترى وتلاى به نه شي او دوى ته به دايمى عذاب وي.",""
707,5,38,"دغله او غلې دواړو لاسونه غوڅ كړئ، دا يې د هغه کړنې بدله ده چې كړې يې وه، د الله له لوري يوه (عبرتناكه) سزا، او الله د حكمت والا برلاسى دى.",""
708,5,39,"نو څوك چې له ظلم كولو نه وروسته توبه وباسي او ځان اصلاح كړي نو الله به د هغه توبه قبوله كړي الله ډېر بخښونكى او رحم كوونكى دى.",""
709,5,40,"ایا ته نه پوهیږي چې بې شکه الله تعالی لپاره خاص پاچایي د اسمانونو او ځمکې ده، عذاب ورکوي چا ته چې وغواړي او بخښنه کوي چا ته چې وغواړي، او بې شکه الله تعالی په هر څه باندې قدرت لرونکی دی.",""
