"Translation Info:
#---------------------------
1028,7,74,"Nimwibuke kandi inema Imana Allah Yabahaye, igihe Yabaha kubaho mukurakuranwa inyuma y’aho Ihonereje Bene Aadi, Iranabatsimbataza kw’isi mu kwishira n’ukwizana, aho mwubaka inyubakwa amahanga mu kabande, mukanabaza ayandi mazu mu misozi. Kubera ivyo rero, nimwibuke inema Imana Allah Yabahaye, muheze muyishimire, kandi ntimuzogenzwe n’ubwononyi kw’isi"".",""
1029,7,75,"Abarongoye abagira amanyama bakihambaza mu bantu biwe, babwiye abemeramana mu bacinyijwe n’agasuzuguro n'akantu bati: “Mbega murazi vy’ukuri ko Swalehe yarungitswe n’Imana yiwe Rurema Allah kuri twebwe!”. Barishuye ata gukekeranya bati: “Twebwe mu vy’ukuri turemanga, tukemera, tukanubahiriza ivyo yarungikanwe n’Imana Allah”.",""
1030,7,76,"Abarongoye abagira amanyama bakihambaza bavuze bati: “Twebwe, mu vy’ukuri turagararije ivyo mwemanze mukemera”.",""
1031,7,77,"Ni ko guca rero baca imitsi ya nya ngamiya irahwera, bahonyanga ku bwishime ibwirizwa ry’Imana yabo Rurema Allah ryo kutayikomakoma ku nabi, baca babwira Swalehe bati: “Ewe Swalehe! Duhe rero vya bihano udusezeranira niwaba uri mu Ntumwa z’Imana Allah!”.",""
1032,7,78,"Ni ho rero Imana Allah Yabahanisha nyamugigima y’akataraboneka, bazinduka bose mu mazu yabo bahonye, ari ibiziga vyibereye aho.",""
1033,7,79,"Bamaze guca imitsi ya nya ngamiya, Swalehe yarabirengagije hanyuma ababwira ati: “Bantu banje! Ni ukuri, narabashikirije ubutumwa bw’Imana yanje Rurema Allah, nita ku rutare ndanabahanura, ariko rero mwebwe ntimukunda ababahanura”.",""
1034,7,80,"Ntumwa y’Imana! Ibuka n’igihe Luutwi yabwira abantu biwe ati: “Murakenyeye mukore icaha c’agahomerabunwa kitigeze gikorwa aho hambere yanyu n’umuntu n’umwe mu biremwa!",""
1035,7,81,"Mu vy’ukuri, mwebwe murangurana amabanga y’abubatse n’abagabo nkamwe, mukirengagiza abakenyezi mwarekuriwe n’Imana Allah ko mworangurana amabanga y’abubatse, ahubwo rero mwebwe muri abantu bimonogoje mu kurenga ku mabwirizwa mu gutururuza ibishobisho ”.",""
1036,7,82,"Ico gihe nta nyishu yatanzwe n’abantu ba Luutwi kiretse ukubwirana hagati yabo bamushinyaguriza, bati: “Luutwi n’umuryango wiwe nimubirukane mu gisagara canyu. Mu vy’ukuri, bo ni abantu biyubashe”.",""
1037,7,83,"Ni ho Twebwe Allah Twategeka Luutwi n’umuryango wiwe kuva muri nya gisagara, Tukabarokora mu bihano vyari bigiye gushika, kiretse umugore wiwe yari mu bahonejwe n’ibihano.",""
1038,7,84,"Twabahanishije rero imvura y’amabuye no kwubikwako igisagara cabo. Ntumwa y’Imana! Raba rero ukuntu iherezo ry’inkozi z’ikibi zihakana Intumwa zacu ryagenze.",""
1039,7,85,"Ni ukuri, Twebwe Allah Twaranatumye ku bwoko bwa “Madiyana” mwenewabo Shu’ayibu, araheza ababwira ati: “Bantu banje! Nimwiyegereze Imana Allah mu vyo mukora vyose munayisenge mutayibangikanya, nta yindi mana mufise ikwiye gusengwa atari Yo, ni ukuri mwarashikiriwe n’ivyemezo bivuye ku Mana yanyu Rurema Allah, nimutunganirize rero abantu mu gukwiza ingero n’iminzane; kandi ntimukagabanye na gato ku vyo bagenewe ngo mubarenganye, ntimukanagenzwe n’ubwononyi bwo kurenganya no kugarariza kw’isi, inyuma y’aho Intumwa z’aho hambere yanyu zitunganirije mu kwisunga iyumviramana. Ivyo ndabararikiye rero, harimwo ineza kuri mwebwe kw’isi no mu buzima bw’inyuma yo gupfa nimwaba muvyemera, muvyubahiriza.",""
1040,7,86,"Ntimugategerere abantu ku nzira, mubatera ubwoba bwo kwicwa mu gihe batabahaye amatungo yabo, muburagiza n’abemera Imana Allah kwinjira mw’idini ryayo, mwipfuza ko ridatumbera ukuri, rikubahirizwa nk’uko mubishaka. Nimwibuke kandi inema mwahawe n’Imana Allah igihe mwari inkehwa, Imana Allah Ikabagwiza mugaheza mukaba ibihangange, kandi murabe n’ukuntu iherezo ry’abagenzwa n’ubwononyi kw’isi ryagenze.",""
1041,7,87,"Nihaba muri mwebwe hari umugwi wemeye ivyo narungikanwe n’Imana Allah, hari n’uwundi mugwi utigeze uvyemera. Nimutenyenye rero bahakanyi, murindire igihe Imana Allah Izoruducira, Ikabaha ibihano nabagabishijeko. Ni na Yo rero Mwiza w’abacamanza batunganiriza ibiremwa.",""
1042,7,88,"Abarongoye abagira amanyama bakihambaza mu kutemera Imana Allah n’Intumwa yayo mu bantu ba Shu’aybu, bavuze bati: “Ni ukuri, dutegerezwa kukwangaza wewe Shu’ayibu hamwe n’abemeramana muri kumwe, mutuvire mu gisagara cacu, kiretse mu gihe mwogaruka mw’idini ryacu”. Shu’ayibu arabishura abiyama ati: “Mbega ni gute twogaruka mw’idini ryanyu mu gihe tuzi neza ko rishingiye ku kinyoma, n’aho twobihatirwa rero, nta vyo twogira!;",""
1043,7,89,"Ni ukuri, twoba turementanirije Imana Allah mu gihe twogaruka mw’idini ryanyu, inyuma y’aho Imana Allah Iridukuriyemwo. Ntibikabe rero ko tworigarukamwo, kiretse mu gihe Imana yacu Rurema Allah Yobishaka, Imana yacu Rurema Allah Irahetura ikintu ico ari co cose mu bumenyi, Irazi n'ibitunganye ku baja bayo, twaramaze rero kwizera Imana Allah. Mana yacu Rurema Allah! Ducire urw’ukuri twebwe hamwe n’abantu bacu. Burya Wewe, ni We Mwiza w’abacamanza"".",""
1044,7,90,"Abarongoye abagararije bagahakana isengwa ry’Imana Imwe Rudende Allah mu bantu ba Shu’ayibu, bavuze bagabisha ku gukurikira Shu’ayibu, bati: “Nimwaramuka mukurikiye Shu’ayibu, mu vy’ukuri muzoba muri mu ruhombo”.",""
1045,7,91,"Ni ho rero Imana Allah Yabahanisha nyamugigima y’akataraboneka, bazinduka bose mu mazu yabo bahonye, ari ibiziga vyibereye aho.",""
1046,7,92,"Abahakanye Shu’ayibu, barahonejwe nk’aho batigeze babaho ngo baryoherwe mu mihana yabo. Abahakanye Shu’ayibu, burya ni bo bahomvye kw’isi no mu buzima bw’inyuma yo gupfa.",""
1047,7,93,"Shu’ayibu amaze kubona ko ibihano vyabo vyimirije, yarabirengagije aranababwira abinginga ati: “Ni ukuri, narabashikirije ubutumwa narungikanwe n’Imana yanje Rurema Allah, ndanabahanura ko mwonkurikira mw’idini ry’Imana Allah, maze ntimwanyumvira. None rero, ni gute notuntuzwa n’ubutumva bw’abantu bagarariza Imana Allah n’Intumwa zayo!”.",""
1048,7,94,"Twebwe Allah, ntitwigeze Dutuma Intumwa n’imwe mu gisagara ico ari co cose, kugira irarikire abantu gusenga Imana Imwe Rudende Allah batayibangikanya, hanyuma bakayihakana, kiretse ko Twabagerageza Tukabatera ubukene n’ivyago, indwara n’amaganya, bakagorwa kugira bagaruke ku kuri, banatakambire n’Imana Allah.",""
1049,7,95,"Hanyuma rero, Twarabahindurira nya buzima bw’amagorwa, Tukabaha ubuzima buhimbaye gushika n’aho batunga bagatunganirwa, kugira bikebuke. Ha kwikebuka rero, bararendegeye barinamura bavuga bati: “Ivy’isi, ni uko bigenda! Imisi irasa ntingana. Abavyeyi bacu, na bo nyene barashikirwa n’indwara n’amaganya no kuroranirwa mu buzima!”. Muri ico gihe rero, Twaca Tubahana giturumbuka ata vyo bari biteze.",""
1050,7,96,"Iyo abantu bo mu bisagara vyashikiriwe n’ubutumwa bemera Intumwa z’Imana barungikiwe, bakazikurikira, bakanubahiriza n’amabwirizwa y’Imana Allah, ni ukuri Twebwe Allah Twari kubugururira imiryango y’ivyiza bibabeshaho biturutse kw’icuncubuka ry’imvura izananye mu kirere ku gihe, bagaheza bakarima bakimbura, ariko rero barahakanye, Dushoka Tubahanira ivyaha vy'ivyo bari bararondeye kw'isi.",""
1051,7,97,"Mbega abantu bo mu bisagara vyashikiriwe n’ubutumwa, bibaza ko batekaniwe kudahanwa n’Imana Allah, ko batoshikirwa n’ibihano mu gihe baryamye!",""
1052,7,98,"Mbega abantu bo mu bisagara bibaza ko batekaniwe kudahanwa n’Imana Allah, batoshikirwa n’ibihano mu gihe bari mu mirimo ya misi yose mu gitondo[15] ata co binona!","[15] Imana Allah Yavuze canecane ibi bihe bibiri, igihe baryamye mw’ijoro n’igihe bari ku mirimo ya misi yose mu gitondo, kuko ibihano bishikira umuntu muri ivyo bihe, bibabaza cane bigatera agahinda."
1053,7,99,"Mbega abantu bo mu bisagara vyagararije, bibaza ko batekaniwe ku gutenyenya kw’Imana Allah mu kutabahana, Igaheza Ikabandanya kubaronsa inema zayo kugira Ibakwegere mu bihano bukebuke bakiri kw’isi! Burya nta wokwijajara ngo asye bwose ngo aratekaniwe ku kudahanwa n’Imana Allah, kiretse abantu bahomvye ubuzima bwabo.",""
1054,7,100,"Mbega abakurakuranwa kuba kw’isi, inyuma y’ihonywa ry’abakurambere babo bitewe n’ivyaha bakoze, ntibarabona ko iyo Dushaka Twari kubahanira ibicumuro vyabo nk’abo hambere yabo, Tukanatera ikimangu c’ubuhakanyi ku mitima yabo, gutyo ntibashobore kwumva inyigisho ngo zibanyure!",""
1055,7,101,"Ntumwa y’Imana! Ivyo bisagara Tukudondaguriye rero[16], ivyashikiye ababibamwo birimwo urwibutso ku bibuka, harimwo n’igabisha ku ntumva. Ni ukuri, abantu bo muri nya bisagara barashikiriwe n’Intumwa zabo zibangikanije ivyemezo vyerekana ukuri kwazo, ariko ntibigeze bazemera ku kubera ihakana ryabo ry’ukuri bazaniwe. Ni nk’uko nyene rero Imana Allah - Yateye ikimangu ku mitima yabo ntibemera - Itera ikimangu ku mitima y’abagararije Intumwa Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah).","[16] Ni ibisagara vy’abantu barungikiwe Nuhu, abarungikiwe Huudi, abarungikiwe Swalehe, abarungikiwe Luutwi n’abarungikiwe Shu’ayibu."
1056,7,102,"Abenshi mu bahakanyi bo muri ivyo bisagara, Twasanze ata n’isezerano bubahiriza, kandi twanasanze abenshi muri bo ari ibigaba birenga ku mabwirizwa yacu Twebwe Allah.",""
1057,7,103,"Ntumwa y'Imana! Mu nyuma y’izo Ntumwa rero, ni ho kandi Twatuma Musa mwene Amraani, Tumurungikana ivyemezo vyacu bigaragara kwa Firawuni n’abantu biwe, baraheza barirenganya mu kugarariza nya vyemezo. Ehe raba ukuntu Twabahanye, Tukabasomesha nturi bose! Iryo rero, ni ryo herezo ry’abagenzwa n’ubwononyi kw’isi.",""
1058,7,104,"Musa yabwiye Firawuni ati: “Jewe mu vy’ukuri, ndi Intumwa ivuye ku Mana Rurema, Umubungabunzi w’ibiremwa vyose.",""
1059,7,105,"Ndakwiye rero kutavuga kiretse ukuri ku vyerekeye Imana Allah. Ni ukuri, naje ndabazaniye icemezo kigaragara kivuye ku Mana yanyu Rurema Allah, cerekana ukuri ku vyo ndababwira. Ewe Firawuni! Bohora rero Bene Israyeli, ureke kubacura bufuni na buhoro, mpeze ndabarongore mu nzira y’Imana Allah”.",""
1060,7,106,"Firawuni araheza yishura Musa ati: “Niwaba wazanye icemezo nk’uko ubivuga, enda rero cerekane, niwaba uri mu mvugakuri ko uri Intumwa vy’ukuri”.",""
1061,7,107,"Ni ho rero Musa yaterera inkoni yiwe hasi, ica ihinduka inzoka amahanga yigendera, abantu birabira;",""
1062,7,108,"Araheza kandi ashira ikiganza ciwe mu kwaha, agize ngo aragikuyeyo, caje cererana gisayangana cane[17] abari ng’aho birabira, barumirwa.","[17] Ico gitangaro mu kugikora, Musa yashira ikiganza mu kwaha, akagikurayo cererana gisayangana cane; yagisubizayo kandi, akagikurayo gisa n’ibara ry’ibindi bihimba vy’umubiri wiwe."
1063,7,109,"Indongozi mu bantu ba Firawuni, ni ho zabwira abari ng’aho ziti: “Mu vy’ukuri, Musa ni umurozi karuhariwe;",""
1064,7,110,"Ashaka kubomora mwese abakure mu gihugu canyu”. Ni ho Firawuni yaca avuga ati: “None mumpanuye gukora iki, ku vyerekeye Musa?”.",""
1065,7,111,"Za ndongozi ziraheza zimuhanura ziti: “Musa na murumunawe Haruna, bahe irindi sango ryo guhurirako, maze utume abararika abantu mu bisagara vyose vyo muri Misiri;",""
1066,7,112,"Baheze begeranye zina mukonikoni wese karuhariwe mu bukonikoni, bamukuzanire”.",""
1067,7,113,"Ku musi uri izina, ni ho rero nya bakonikoni karuhariwe baza kwa Firawuni, baraheza bamubaza bati: “Mbega none, ubwo duhava turonka agashimwe gashimishije, nitwaramuka dutsinze Musa?”.",""
1068,7,114,"Na we abishura ati: “Ego cane! Kandi muzoba muri no mu batoni bari hambavu yanje (abishikira)”.",""
1069,7,115,"Ba bakonikoni babwira Musa bamubaza n’ubwishime n’akantu bati: “Ewe Musa! Wipfuza ko ari wewe wotangura guterera hasi inkoni yawe, canke ko ari twebwe twotangura?”.",""
1070,7,116,"Musa abishura ati: “Nipfuza ko ari mwebwe mwotangura”. Bamaze guterera hasi imizana n’inkoni vyabo, barahunitse abantu bose bari ng’aho, ntibaba bakibona nya mizana na nya nkoni nk’uko bisanzwe, baraheza rero kandi babatera n’ubwoba bakoresheje uburozi buhanitse.",""
1071,7,117,"Ni naho Imana Allah Yahishurira Musa (nyakugira amahoro y’Imana Allah) Imubwiriza Iti: “Terera inkoni yawe hasi”. Musa, amaze guterera nya nkoni hasi, ya nkoni yaciye imiragura ivyo batereye hasi vyose, ivyari vyakanze abantu babona ko ari ivy’ukuri kandi ari ikinyoma ceruye.",""
1072,7,118,"Ico gihe, ukuri kwaragaragaye ku bari ng’aho ko Musa ari Intumwa y’Imana vy’ukuri. Ikinyoma cagizwe na ba bakonikoni na co, carabatekurukanye, gikubitirwa ahabona maze barahinyuka.",""
1073,7,119,"Muri iryo koraniro rero, abakonikoni bose baratsinzwe, maze Firawuni n’abantu biwe basubira inyuma basuzuguritse (ubwanwa bwapfutse umunwa).",""
1074,7,120,"Ni ho rero ba bakonikoni baca bubamira Imana Allah;",""
1075,7,121,"Bavuga bati: “Twemeye Imana Rurema, Umubungabunzi w’ibiremwa vyose;",""
1076,7,122,"Imana Rurema ya Musa na murumunawe Haruna”.",""
1077,7,123,"Firawuni n’ishavu n’akantu yaciye avuga ababwira ati: “Mbega mwemeye iyo Mana imbere yuko ndabarekurira kuyemera! Mu vy’ukuri, ukwo kwemera kwanyu, ni umugambi mubi mwateguye mufatanije na Musa, kugira mwomore ababa muri iki gisagara, muheze mucigarurire. Kubera ivyo rero, mugiye kwibonerako ingaruka y’ivyo mwakoze;",""
1078,7,124,"Ntegerezwa kubaca amaboko n’amaguru binyuranije; ndabace ukuboko kw’ukuryo hamwe n’ukuguru kw’ukubamfu, ukuboko kw’ukubamfu hamwe n’ukuguru kw’ukuryo, hanyuma mpeze ndababambe mwese ku bishitsi vy’igiti”.",""
1079,7,125,"Ba bakonikoni baraheza bishura Firawuni batekaniwe bati: “Twebwe mu vy’ukuri, twamaze kumenya ko tuzosubira ku Mana yacu Rurema Allah;",""
1080,7,126,"Nta n’ico uduhoye kiretse ko twemeye ivyemezo vy’Imana yacu Rurema Allah twashikirijwe na Musa. Mana yacu Rurema Allah! Duhe ukwihangana no gutsimbatara ku kwemera, Wongere Uzoturengutse hageze gupfa turi abislamu bicisha bugufi”.",""
1081,7,127,"Indongozi mu bantu ba Firawuni, zarahejeje zibwira Firawuni ziti: “Ubu urakenyeye ureke Musa n’abamukurikiye muri Bene Israyeli bidegemvye, kugira bonone igihugu ca Misiri mu guhindura idini ryacu, baheze basenge Imana Imwe Rudende Allah, bavavanure n’isengwa ryawe hamwe n’iry’ibigirwamana vyawe!”. Firawuni araheza azishura ati: “Tugiye kubahasha mu kwica abana b’abahungu muri Bene Israyeli, duheze dusigaze gusa abana b’abakobwa kugira tubagire abajakazi bacu, kandi mu vy’ukuri twebwe tuzobatsinda, tubaganze dukoresheje inguvu z’ubutegetsi”.",""
1082,7,128,"Musa na we araheza abwira abantu biwe muri Bene Israyeli ati: “Nimwifashishe Imana Allah mu guhangana n’agacinyizo ka Firawuni n’abantu biwe, muheze mwihanganire amabi yose abakorera. Mu vy’ukuri, isi ni iy’Imana Allah, Iyitsimbatazako uwo Ishatse mu baja bayo. Burya amaherezo meza, ni ay’abagamburukira Imana Allah mu kwubahiriza amabwirizwa yayo”.",""
1083,7,129,"Abantu ba Musa muri Bene Israyeli, baraheza bamubwira n’umwiheburo n’akantu bati: “Twarageragejwe na Firawuni, turabangamirwa mu kwicirwa abana bacu b’abahungu, hagasigazwa abana bacu b’abakobwa bagirwa abajakazi. Ivyo vyadushikiye imbere yuko uza n’inyuma y’aho uziye”. Musa ababwira ati: “Hari n’aho Imana yanyu Rurema Allah Yohonya abansi banyu, maze mukabasubirira, Imana Allah Ikabatsimbataza kw’isi kugira Irabe uko mwigenza; ko mwoshima ingabirano zayo canke mukazigarariza!”.",""
1084,7,130,"Ni ukuri, Twebwe Allah Twaragerageje Firawuni n’abantu biwe, Turaheza Tubahanisha inzara, amapfa no gukehanirwa n’umwimbu w’ivyamwa n’ibiterwa mbumbarugo, kugira bikebuke, bagaruke ku Mana Allah.",""
1085,7,131,"Firawuni n’abantu biwe, igihe cose bashikiwe n’ivyiza, baca bavuga bati: “Ibi tubironse kuko tubikwiye”. Baramutse naho bashikiwe n’amapfa, baca bidogera Musa bati: “Ibi bidushikiye kubera Musa n’abari kumwe na we baduhumiye”. Emwe! Ivyabashikiye vyose, vyabashikira nk’uko vyagezwe n’Imana Allah, bitewe n'ibicumuro n’igarariza vyabo, ariko abenshi mu bantu ba Firawuni nta vyo bazi.",""
1086,7,132,"Abantu ba Firawuni babwiye Musa bati: “Icemezo ico ari co cose wotuzanira ngo tuve mw’idini rya Firawuni, nta co turota twemera ngo tugukurikire”.",""
1087,7,133,"Ni ho rero Twebwe Allah, Twabarungikira umwuzurira maze uhitana ibiterwa n’ivyamwa. Twaranabarungikiye inzige zirya ikintu ico ari co cose zishikiriye: ibiterwa, imiryango, urusenge n’impuzu; Tubarungikira n’udukoko turya ibiterwa n’ibitungwa; Tubarungikira n’ibikere bikwiragira hose: mu bikoresho, mu mfungurwa no mu busaswa; Twaranahinduye inzuzi n’amariba bicika amaraso, ntibaheza ngo baronke amazi yo gukoresha. Ivyo vyose rero, vyari ivyemezo n’ibitangaro vyabashikiye mu bihe bitandukanye bivuye ku Mana Allah, ariko baragize amanyama ntibemera. Kira noneho, bari no mu bantu b’inkozi z’ikibi, barenga ku mabwirizwa y’Imana Allah.",""
1088,7,134,"Igihe bashikirwa n’ibihano rero, baratekewe n’ubwoba baca bitura Musa bati: “Ewe Musa! Dusabire Imana yawe Rurema Allah ku vyo wahishuriwe ko ibihano bikurwaho n’ukwigaya. Uramutse udukuyeko ibihano turimwo, ni ukuri tuzoca tukwemera ko uri Intumwa, duheze turekurire Bene Israyeli bagukurikire, ntibaburagizwe kuja aho bashatse hose”.",""
1089,7,135,"Igihe Twebwe Allah Twabakurako vy’agateganyo ibihano mu kiringo gito, mu kurindira isango bazohanirwako mu gusomeshwa nturi, baciye barenga kw’isezerano ryo kwemera Imana Allah.",""
1090,7,136,"Ni ho rero Twashoka Tubihora hageze nya sango ryo guhanwa, Turabasomesha nturi mu kiyaga kubera ihakana ryabo ry’ibitangaro vyacu. Kira noneho, bari no mu bavyirengagiza bakigira ba sindabibazwa.",""
1091,7,137,"Abari baracinyijwe muri Bene Israyeli, bakagirwa abaja ba Firawuni, Twarabaraze igihugu co mu buseruko n’ico mu burengero bw’isi (Misiri na Shaamu), ari na vyo bihugu Twahezagiye bikagira isi ndimwa y’akanovera n’inzuzi, gutyo ijambo ry’isezerano ry’Imana yawe Rurema Allah ryo kubohoza no gutsimbataza Bene Israyeli bihanganiye Firawuni, riba riratunganye; Turaheza rero Duhonya ivyaranguwe na Firawuni n’abantu biwe, Tunasenyura n’inyubakwa bubatse.",""
1092,7,138,"Twarajabukishije Bene Israyeli ibahari, maze baca ku bantu biyeguriye gusenga ibigirwamana, ni ho bavuga bati: “Ewe Musa! Tugirire na twe ikigirwamana dusenga nk’uko aba bafise ikigirwamana basenga”. Musa araheza abishura ati: “Mu vy’ukuri, mwebwe muri ibijuju ruhebwa, bidatahura icubahiro c’Imana Allah ngo bimenye ko ata kintu na kimwe gikwiye gusengwa atari Yo;",""
1093,7,139,"Mu vy’ukuri, aba biyeguriye ibigirwamana, ibangikanyamana ryabo rizohonywa, ivyo bakora mu gusenga, ni ibintazi ni n’ubuhuvyi”.",""
1094,7,140,"Musa yabandanije ababwira ati: “Mbega hari ikitari Imana Allah nobipfuriza ko musenga, kandi ari Yo Yabaremye Ikabahesha icubahiro gisumba ibindi biremwa mu gihe canyu; mu kubarungikamwo Intumwa nyinshi, mu guhonya abansi banyu hamwe no kubereka ibitangaro!”.",""
1095,7,141,"Bene Israyeli! Nimwibuke inema zacu Twebwe Allah Twabahaye, igihe Twabakura mu buja bwa Firawuni n’abantu biwe, Tukabakurako ibihano bisuzuguza vyo kwica abana banyu b’abahungu, hagasigazwa abana banyu b’abakobwa kugira babagire abajakazi. Muri ivyo vyose rero, harimwo igeragezwa rihambaye rivuye ku Mana yanyu Rurema Allah.",""
1096,7,142,"Mwibuke n’igihe Twaha Musa isezerano ryo kuvugana n’Imana Allah mu majoro mirongo itatu, hanyuma Turaheza Twongerako ayandi majoro cumi, gutyo ikiringo c’amajoro mirongo ine yagenewe n’Imana yiwe Rurema Allah kiba kirakwiye. Ni ho rero Musa yaheza abwira murumunawe Haruna ati: “Mbera icariho mu bantu banje gushika aho nzogarukira, uheze ubararikire kwumvira Imana Allah no kuyisenga, kandi ntuzohirahire ngo ukurikire inzira y’abagenzwa n’ubwononyi kw’isi”.",""
1097,7,143,"Igihe rero Musa yaza, ikiringo c’amajoro mirongo ine kimaze gukwira, maze Imana yiwe Rurema Allah Ikavugana na we mu kumuhishurira amabwirizwa yayo, yaripfuje kubona Imana Allah imbona nkubone, aca avuga ati: “Mana yanje Rurema Allah! Nyiyereke ndakubone”. Imana Allah Iraheza Imwishura Iti: “Ntushobora kumbona mu buzima bwo kw’isi! Ariko raba urya musozi, ninawiyereka ugashobora kuguma nk’uko uri, muri ico gihe na we urashobora kumbona”. Imana yiwe Rurema Allah Imaze kwiyereka nya musozi waciye usenyuka urayoka, Musa na we aca agwa igihumura araraba. Amaze kurabuka, aca avuga ati: “Ininahazwa ni iryawe Mana! Ndigaye kugusaba kukubona imbona nkubone kw’isi, kandi jewe ndi n’uwa mbere mu bemeramana mu bantu banje”.",""
1098,7,144,"Imana Allah Yabwiye Musa Iti: “Jewe mu vy’ukuri, Naragutoye mu bantu Ndakurungikana ubutumwa bwanje ngo ububashikirize, Ndanavugana na we ukuri kwamye. Kubera ivyo rero, fata nkama ivyo Naguhaye uvyubahirize, uheze ube mu bashima”.",""
1099,7,145,"Twebwe Allah, Twarahaye Musa muri Tawurati ingingo nkenerwa mw’idini ryiwe, kugira zibe urwibutso n’itomora ry’amabwirizwa y’ibirekuwe n’ibizira, ukwemera n’inkuru z’ab’aho hambere. Musa! Kubera ivyo rero, fata nkama ayo mabwirizwa, uheze uyubahirize ata guhesha, unabwirize n’abantu bawe warungitsweko kuyubahiriza. Uwuzohirahira muri bo akayarengako, Nzoheza Ndamwereke mu buzima bw’inyuma yo gupfa icumbi ry’ibigaba birenga ku mabwirizwa yanje.",""
1100,7,146,"Abagira amanyama mu kutanyumvira Jewe Allah, bakanishima ku bandi kw’isi mu guhonyanga agateka kabo, Nzokebanya imishaha yabo mu kudatahura Aayah n'ivyemezo vyanje vyerekana ukuri kw’amabwirizwa yanje. Iyo babonye icemezo ico ari co cose rero, ntibaheza ngo bacemere ku kugabitanya. Iyo babonye inzira y’ubugororotsi, ntibayikurikira namba, babona inzira y’ubuhuvyi bakayikurikira. Ivyo rero bigaterwa n’uko bahakanye bivuye inyuma Aayah n'ivyemezo vyacu, bakanavyirengagiza bakigira ba sindabibazwa.",""
1101,7,147,"Abahakanye bivuye inyuma Aayah n’ivyemezo vyacu, bagahakana n’uko bazohura n'Imana Allah mu buzima bw’inyuma yo gupfa, ibikorwa vyabo bizocika impfagusa kuko batemera Imana Allah. Mbega none muri ico gihe, ugira ngo bazohembwa kiretse ku bikorwa bari barakoze kw’isi!",""
1102,7,148,"Inyuma y’aho Musa agiriye kuvugana n’Imana Allah, abantu biwe bafashe igishusho c’ishashi y’inka cabumbwe mu nzahabu n'uwitwa Al-Saamiriy, umuyaga wahuhuta kikamoka nk’inka, baraheza bakigira ikigirwamana baragisenga. Mbega ntibamenye ko ico gishusho c’ishashi y’inka kidashoboye kubavugisha, vyongeye kitanashoboye no kubarongora mu nzira nziza! Barahejeje rero bakigira ikigirwamana, bari no mu birenganije mu gusenga ikitari Imana Allah.",""
1103,7,149,"Bene Israyeli basenze nya gishusho c’ishashi y’inka mu gishingo c’Imana Allah, igihe baboneye neza ko mu vy’ukuri bahuvye inzira bakicuza, bahavuye bigaya, bavuga bati: “Imana yacu Rurema Allah, nitatugirira impuhwe Ikatwakirira ukwigaya kwacu, Ikanatugumiriza akabanga ku vyaha vyacu ntibiduhanire, ni ukuri tuzoba turi mu bantu bahomvye ubuzima bwabo”.",""
1104,7,150,"Musa amaze kugaruka ku bantu biwe, yaje yishwe n’ishavu n’intuntu n’akantu, kuko Imana Allah Yari Yamubwiye ko Yagerageje abantu biwe, n’uko Al-Saamiriy yamaze kubahubisha. Musa yarahejeje avuga ati: “Ni agahebuza, ni bibi cane ivyo mwasigaye murankorera inyuma y’aho ngiriye! Mbega mwihutiye gushaka ko ngaruka gihutihuti, ntimwaheza ngo mundindire nk’uko mwasezeraniwe n’Imana yanyu Rurema Allah?”. Ni ho Musa yaterera hasi Imizingo ya Tawurati, aca afata n’ishavu n’akantu murumunawe Haruna mu kanigo aramujegeza. Haruna ni ho yamwinginga ati: “Mwana wa mama! Ni ukuri, abantu bari aho barampahaje bahakwa no kunyica, enda reka kunkekeza ntitwihe amenyo y’abatwenzi mu bansi bacu, kandi ntutwarwe n’agashavu ngo unshire mu bantu birenganije bagaca kubiri n’ibwirizwa ryawe, bagasenga igishusho c’ishashi y’inka”.",""
1105,7,151,"Musa amaze gutahura uko vyagenze, yavuze ati: “Mana yanje Rurema Allah! Mbabarira itwarwa ryanje n’agashavu, Wongere Ubabarire murumunanje ivyamushikiye, Unadushire twempi mu mpuhwe zawe. Burya Wewe ni We Urangwa n’impuhwe kurusha abagirampuhwe bose”.",""
1106,7,152,"Mu vy’ukuri, abafashe igishusho c’ishashi y’inka bakagisenga, bazoshikirwa n’ishavu ry’Imana yabo Rurema Allah, banasuzugurike mu buzima bwo kw’isi kubera igarariza ry’Imana Allah. Ni nk’ukwo nyene rero Duhemba abarementanya ivyadukano mw’idini.",""
1107,7,153,"Nayo abakoze ivyaha, mu nyuma bakagaruka ku Mana Allah bakigaya bakanayemera, bakanakora n’ibikorwa vyiza, mu vy’ukuri Imana yawe Rurema Allah nta nkeka ko inyuma y’uko kwigaya kwabo Izobababarira, ni Nyenimbabazi-ntangere ku bigaya, Nyenimbabazi ku batoni bayo.",""
1108,7,154,"Musa amaze guturura ishavu rigahera, yarahejeje atora ya Mizingo ya Tawurati yari yataye hasi. Muri yo, harimwo uburongozi n’impuhwe ku bantu batinya ibihano vy’Imana yabo Rurema Allah.",""
